 typeid |                            typename                            | typeclass |    size    | published | marketgroup | groupid | raceid 
  31645 | Small Warhead Rigor Catalyst I Blueprint                       |           |       0.01 |         1 |        1261 |     787 |       
  31647 | Medium Warhead Rigor Catalyst I Blueprint                      |           |       0.01 |         1 |        1262 |     787 |       
  31656 | Small Projectile Ambit Extension I                             |           |       0.01 |         1 |        1237 |     777 |       
  31657 | Small Projectile Ambit Extension I Blueprint                   |           |       0.01 |         1 |        1264 |     787 |       
  31658 | Medium Projectile Ambit Extension I                            |           |       0.01 |         1 |        1238 |     777 |       
  31671 | Medium Projectile Burst Aerator I Blueprint                    |           |       0.01 |         1 |        1265 |     787 |       
  31424 | Small Algid Energy Administrations Unit II                     |           |          5 |         1 |        1225 |     775 |       
  31426 | Medium Algid Energy Administrations Unit II                    |           |         10 |         1 |        1226 |     775 |       
  31436 | Small Energy Ambit Extension II                                |           |          5 |         1 |        1225 |     775 |       
  31438 | Medium Energy Ambit Extension II                               |           |         10 |         1 |        1226 |     775 |       
  31472 | Small Energy Discharge Elutriation II                          |           |          5 |         1 |        1225 |     775 |       
  31496 | Small Energy Metastasis Adjuster II                            |           |          5 |         1 |        1225 |     775 |       
  31508 | Small Algid Hybrid Administrations Unit II                     |           |          5 |         1 |        1228 |     776 |       
  31510 | Medium Algid Hybrid Administrations Unit II                    |           |         10 |         1 |        1229 |     776 |       
  31529 | Medium Hybrid Burst Aerator I Blueprint                        |           |       0.01 |         1 |        1259 |     787 |       
  31553 | Medium Hybrid Discharge Elutriation I Blueprint                |           |       0.01 |         1 |        1259 |     787 |       
  31558 | Medium Hybrid Discharge Elutriation II                         |           |         10 |         1 |        1229 |     776 |       
  31287 | Small Particle Dispersion Augmentor I Blueprint                |           |       0.01 |         1 |        1249 |     787 |       
  31301 | Medium Particle Dispersion Projector I Blueprint               |           |       0.01 |         1 |        1250 |     787 |       
  31304 | Small Particle Dispersion Projector II                         |           |          5 |         1 |        1219 |     786 |       
  31306 | Medium Particle Dispersion Projector II                        |           |         10 |         1 |        1220 |     786 |       
  31311 | Small Signal Focusing Kit I Blueprint                          |           |       0.01 |         1 |        1249 |     787 |       
  11381 | Harpy                                                          |           |      16500 |         1 |         434 |     324 |       
  10209 | Memory Augmentation - Improved                                 |           |          1 |         1 |         619 |     745 |       
  10213 | Neural Boost - Improved                                        |           |          1 |         1 |         620 |     745 |       
  10217 | Ocular Filter - Improved                                       |           |          1 |         1 |         618 |     745 |       
  10226 | Social Adaptation Chip - Improved                              |           |          1 |         1 |         622 |     745 |       
  17483 | Strip Miner I Blueprint                                        |           |       0.01 |         1 |         338 |     490 |       
   6252 | F-43 Repetitive LADAR Backup Sensors                           |           |          5 |         1 |         721 |     203 |       
   6276 | F-43 Repetitive RADAR Backup Sensors                           |           |          5 |         1 |         722 |     203 |       
  31120 | Medium Cargohold Optimization I Blueprint                      |           |       0.01 |         1 |        1241 |     787 |       
  31640 | Medium Warhead Flare Catalyst II                               |           |       0.01 |         1 |        1232 |     779 |       
  31824 | Medium Core Defence Operational Solidifier II                  |           |       0.01 |         1 |        1235 |     774 |       
  31022 | Small Anti-Kinetic Pump I Blueprint                            |           |       0.01 |         1 |        1203 |     787 |       
  31313 | Medium Signal Focusing Kit I Blueprint                         |           |       0.01 |         1 |        1250 |     787 |       
  31316 | Small Signal Focusing Kit II                                   |           |          5 |         1 |        1219 |     786 |       
  12021 | Phobos                                                         |           |     112000 |         1 |        1073 |     894 |       
  31318 | Medium Signal Focusing Kit II                                  |           |         10 |         1 |        1220 |     786 |       
  31323 | Small Targeting System Subcontroller I Blueprint               |           |       0.01 |         1 |        1249 |     787 |       
  13220 | Hardwiring - Inherent Implants 'Lancer' G1-Gamma               |           |          1 |         1 |        1171 |     742 |       
  16228 | Ferox Blueprint                                                |           |       0.01 |         1 |         590 |     489 |       
  16229 | Brutix                                                         |           |     270000 |         1 |         472 |     419 |       
  16230 | Brutix Blueprint                                               |           |       0.01 |         1 |         591 |     489 |       
  16231 | Cyclone                                                        |           |     216000 |         1 |         473 |     419 |       
  16232 | Cyclone Blueprint                                              |           |       0.01 |         1 |         592 |     489 |       
  16233 | Prophecy                                                       |           |     234000 |         1 |         470 |     419 |       
  16234 | Prophecy Blueprint                                             |           |       0.01 |         1 |         589 |     489 |       
  16236 | Coercer                                                        |           |      47000 |         1 |         465 |     420 |       
  16237 | Coercer Blueprint                                              |           |       0.01 |         1 |         583 |     487 |       
  16238 | Cormorant                                                      |           |      52000 |         1 |         466 |     420 |       
  16239 | Cormorant Blueprint                                            |           |       0.01 |         1 |         584 |     487 |       
  16240 | Catalyst                                                       |           |      55000 |         1 |         467 |     420 |       
  16241 | Catalyst Blueprint                                             |           |       0.01 |         1 |         585 |     487 |       
  17167 | Small Beam Laser Battery                                       |           |        500 |         1 |         596 |     430 |       
  17168 | Medium Beam Laser Battery                                      |           |       1000 |         1 |         596 |     430 |       
  17170 | Moon Harvesting Array II                                       |           |       4000 |         0 |         488 |     416 |       
  31325 | Medium Targeting System Subcontroller I Blueprint              |           |       0.01 |         1 |        1250 |     787 |       
  17175 | Phase Inversion Battery                                        |           |       4000 |         1 |         481 |     439 |       
  17176 | Spatial Destabilization Battery                                |           |       4000 |         1 |         481 |     439 |       
  17177 | White Noise Generation Battery                                 |           |       4000 |         1 |         481 |     439 |       
  17178 | Stasis Webification Battery                                    |           |       4000 |         1 |         481 |     441 |       
  17180 | Sensor Dampening Battery                                       |           |       4000 |         1 |         481 |     440 |       
  17181 | Warp Disruption Battery                                        |           |       4000 |         1 |         481 |     443 |       
  17182 | Warp Scrambling Battery                                        |           |       4000 |         1 |         481 |     443 |       
  31334 | Small Targeting Systems Stabilizer I                           |           |       0.01 |         1 |        1219 |     786 |       
  31335 | Small Targeting Systems Stabilizer I Blueprint                 |           |       0.01 |         1 |        1249 |     787 |       
  12225 | Large Energy Transfer Array I                                  |           |         50 |         1 |         697 |      67 |       
  31336 | Medium Targeting Systems Stabilizer I                          |           |       0.01 |         1 |        1220 |     786 |       
  12235 | Amarr Control Tower                                            |           |       8000 |         1 |         478 |     365 |       
  12236 | Gallente Control Tower                                         |           |       8000 |         1 |         478 |     365 |       
  12237 | Ship Maintenance Array                                         |           |       8000 |         1 |         484 |     363 |       
  12238 | Refining Array                                                 |           |       4000 |         1 |         482 |     311 |       
  12239 | Medium Intensive Refining Array                                |           |       4000 |         1 |         482 |     311 |       
  12241 | Sovereignty                                                    |           |       0.01 |         1 |         365 |     266 |       
  12243 | Science Graduates                                              |           |          3 |         1 |          23 |     283 |       
  18029 | Freed Slaves                                                   |           |          6 |         1 |          23 |     879 |       
  31337 | Medium Targeting Systems Stabilizer I Blueprint                |           |       0.01 |         1 |        1250 |     787 |       
  31340 | Small Targeting Systems Stabilizer II                          |           |          5 |         1 |        1219 |     786 |       
  31342 | Medium Targeting Systems Stabilizer II                         |           |         10 |         1 |        1220 |     786 |       
  31346 | Small Tracking Diagnostic Subroutines I                        |           |       0.01 |         1 |        1219 |     786 |       
  18588 | Observator Deep Space Probe I                                  |           |      0.125 |         1 |         120 |     479 |       
  18589 | Observator Deep Space Probe I Blueprint                        |           |       0.01 |         1 |         320 |     486 |       
  31347 | Small Tracking Diagnostic Subroutines I Blueprint              |           |       0.01 |         1 |        1249 |     787 |       
  31349 | Medium Tracking Diagnostic Subroutines I Blueprint             |           |       0.01 |         1 |        1250 |     787 |       
  31352 | Small Tracking Diagnostic Subroutines II                       |           |          5 |         1 |        1219 |     786 |       
  31354 | Medium Tracking Diagnostic Subroutines II                      |           |         10 |         1 |        1220 |     786 |       
  31371 | Small Capacitor Control Circuit I Blueprint                    |           |       0.01 |         1 |        1252 |     787 |       
  31388 | Small Egress Port Maximizer II                                 |           |          5 |         1 |        1222 |     781 |       
  31402 | Medium Powergrid Subroutine Maximizer II                       |           |         10 |         1 |        1223 |     781 |       
  31156 | Medium Low Friction Nozzle Joints I Blueprint                  |           |       0.01 |         1 |        1241 |     787 |       
  31160 | Small Hyperspatial Velocity Optimizer I Blueprint              |           |       0.01 |         1 |        1240 |     787 |       
  31162 | Medium Hyperspatial Velocity Optimizer I Blueprint             |           |       0.01 |         1 |        1241 |     787 |       
    643 | Armageddon                                                     |           |     495000 |         1 |          79 |      27 |       
    644 | Typhoon                                                        |           |     414000 |         1 |          78 |      27 |       
    645 | Dominix                                                        |           |     454500 |         1 |          81 |      27 |       
  31183 | Small Polycarbon Engine Housing II                             |           |       0.01 |         1 |        1210 |     782 |       
  31190 | Small Warp Core Optimizer I Blueprint                          |           |       0.01 |         1 |        1240 |     787 |       
  31192 | Medium Warp Core Optimizer I Blueprint                         |           |       0.01 |         1 |        1241 |     787 |       
  31195 | Small Warp Core Optimizer II                                   |           |          5 |         1 |        1210 |     782 |       
  31202 | Small Emission Scope Sharpener I Blueprint                     |           |       0.01 |         1 |        1246 |     787 |       
  31204 | Medium Emission Scope Sharpener I Blueprint                    |           |       0.01 |         1 |        1247 |     787 |       
  31232 | Small Liquid Cooled Electronics II                             |           |          5 |         1 |        1216 |     780 |       
  31239 | Small Memetic Algorithm Bank I Blueprint                       |           |       0.01 |         1 |        1246 |     787 |       
  31241 | Medium Memetic Algorithm Bank I Blueprint                      |           |       0.01 |         1 |        1247 |     787 |       
  31251 | Small Signal Disruption Amplifier I Blueprint                  |           |       0.01 |         1 |        1246 |     787 |       
  31253 | Medium Signal Disruption Amplifier I Blueprint                 |           |       0.01 |         1 |        1247 |     787 |       
  31256 | Small Signal Disruption Amplifier II                           |           |          5 |         1 |        1216 |     780 |       
  31258 | Medium Signal Disruption Amplifier II                          |           |         10 |         1 |        1217 |     780 |       
  31268 | Small Inverted Signal Field Projector II                       |           |          5 |         1 |        1219 |     786 |       
  31274 | Small Ionic Field Projector I                                  |           |       0.01 |         1 |        1219 |     786 |       
  31275 | Small Ionic Field Projector I Blueprint                        |           |       0.01 |         1 |        1249 |     787 |       
  31277 | Medium Ionic Field Projector I Blueprint                       |           |       0.01 |         1 |        1250 |     787 |       
  31003 | Small Anti-EM Pump II                                          |           |       0.01 |         1 |        1206 |     773 |       
  31015 | Small Anti-Explosive Pump II                                   |           |       0.01 |         1 |        1206 |     773 |       
  11380 | Hawk Blueprint                                                 |           |       0.01 |         1 |         461 |     105 |       
  20412 | Datacore - Plasma Physics                                      |           |          1 |         1 |         966 |     333 |       
  31790 | Medium Core Defence Field Extender I                           |           |       0.01 |         1 |        1235 |     774 |       
  31036 | Medium Anti-Thermic Pump I Blueprint                           |           |       0.01 |         1 |        1204 |     787 |       
  32047 | Medium Drone Mining Augmentor II                               |           |       0.01 |         1 |        1214 |     778 |       
  31039 | Small Anti-Thermic Pump II                                     |           |       0.01 |         1 |        1206 |     773 |       
  31077 | Small Remote Repair Augmentor II                               |           |          5 |         1 |        1206 |     773 |       
  31108 | Medium Auxiliary Thrusters I Blueprint                         |           |       0.01 |         1 |        1241 |     787 |       
  31130 | Small Dynamic Fuel Valve I Blueprint                           |           |       0.01 |         1 |        1240 |     787 |       
  31132 | Medium Dynamic Fuel Valve I Blueprint                          |           |       0.01 |         1 |        1241 |     787 |       
  31142 | Small Engine Thermal Shielding I Blueprint                     |           |       0.01 |         1 |        1240 |     787 |       
  31144 | Medium Engine Thermal Shielding I Blueprint                    |           |       0.01 |         1 |        1241 |     787 |       
  31147 | Small Engine Thermal Shielding II                              |           |          5 |         1 |        1210 |     782 |       
  31154 | Small Low Friction Nozzle Joints I Blueprint                   |           |       0.01 |         1 |        1240 |     787 |       
  30744 | Neural Network Analyzer                                        |           |        0.1 |         1 |        1109 |     880 |       
  30745 | Sleeper Data Library                                           |           |        0.1 |         1 |        1109 |     880 |       
  30746 | Ancient Coordinates Database                                   |           |        0.1 |         1 |        1109 |     880 |       
     40 | Megacyte                                                       |           |       0.01 |         1 |          18 |      18 |       
     41 | Garbage                                                        |           |       0.25 |         1 |          20 |     280 |       
  11640 | Warp Core Stabilizer II                                        |           |          5 |         1 |        1088 |     315 |       
  30747 | Sleeper Drone AI Nexus                                         |           |        0.1 |         1 |        1109 |     880 |       
  30752 | Intact Hull Section                                            |           |        100 |         1 |        1149 |     997 |       
  30753 | Malfunctioning Hull Section                                    |           |        100 |         1 |        1149 |     997 |       
  30788 | Propulsion Subsystem Technology                                |           |       0.01 |         1 |         375 |     270 |       
  30832 | Analyzer II                                                    |           |          5 |         1 |         714 |     538 |       
  30834 | Codebreaker II                                                 |           |          5 |         1 |         714 |     538 |       
  30836 | Salvager II                                                    |           |          5 |         1 |         714 |     538 |       
  28503 | Compressed Smooth Glacial Mass Blueprint                       |           |       0.01 |         1 |        1043 |     890 |       
  28414 | Compressed Vitreous Mercoxit                                   |           |       1000 |         1 |         530 |     468 |       
  24306 | Modulated Deep Core Strip Miner II Blueprint                   |           |       0.01 |         1 |         338 |     490 |       
  25922 | EW Drone Range Augmentor I                                     |           |          5 |         1 |         958 |     778 |       
  23035 | Caldari Navy Iridium Charge M                                  |           |      0.025 |         1 |         992 |      85 |       
  25923 | EW Drone Range Augmentor I Blueprint                           |           |       0.01 |         1 |         946 |     787 |       
  22228 | Siege Warfare Link - Shield Efficiency                         |           |         60 |         1 |         779 |     316 |       
  21350 | Guristas Antimatter Charge M                                   |           |      0.025 |         1 |         992 |      85 |       
  20059 | Amarr Control Tower Medium                                     |           |       4000 |         1 |         478 |     365 |       
  18065 | Spodumain Mining Crystal I Blueprint                           |           |       0.01 |         1 |         753 |     727 |       
  17216 | Serpentis Diamond Tag                                          |           |        0.1 |         1 |         747 |     370 |       
  17217 | Serpentis Brass Tag                                            |           |        0.1 |         1 |         747 |     370 |       
  17218 | Serpentis Palladium Tag                                        |           |        0.1 |         1 |         747 |     370 |       
  17219 | Serpentis Electrum Tag                                         |           |        0.1 |         1 |         747 |     370 |       
  17220 | Domination Brass Tag                                           |           |        0.1 |         1 |         743 |     370 |       
     45 | Frozen Plant Seeds                                             |           |        0.5 |         1 |         492 |     281 |       
   5833 | Systematic Damage Control                                      |           |          5 |         1 |         615 |      60 |       
   5835 | F84 Local Damage System                                        |           |          5 |         1 |         615 |      60 |       
   5837 | Pseudoelectron Containment Field I                             |           |          5 |         1 |         615 |      60 |       
   5839 | Internal Force Field Array I                                   |           |          5 |         1 |         615 |      60 |       
   5841 | Emergency Damage Control I                                     |           |          5 |         1 |         615 |      60 |       
   5843 | F85 Peripheral Damage System I                                 |           |          5 |         1 |         615 |      60 |       
   5845 | Heat Exhaust System                                            |           |          5 |         1 |         647 |     205 |       
   6234 | Protected RADAR Backup Cluster I                               |           |          5 |         1 |         722 |     203 |       
  17221 | Domination Bronze Tag                                          |           |        0.1 |         1 |         743 |     370 |       
  17222 | Domination Copper Tag                                          |           |        0.1 |         1 |         743 |     370 |       
  17223 | Domination Crystal Tag                                         |           |        0.1 |         1 |         743 |     370 |       
  17224 | Domination Diamond Tag                                         |           |        0.1 |         1 |         743 |     370 |       
  17225 | Domination Electrum Tag                                        |           |        0.1 |         1 |         743 |     370 |       
  17226 | Domination Gold Tag                                            |           |        0.1 |         1 |         743 |     370 |       
  17227 | Domination Palladium Tag                                       |           |        0.1 |         1 |         743 |     370 |       
  17229 | Domination Platinum Tag                                        |           |        0.1 |         1 |         743 |     370 |       
  17230 | Domination Silver Tag                                          |           |        0.1 |         1 |         743 |     370 |       
  17231 | Dark Blood Brass Tag                                           |           |        0.1 |         1 |         742 |     370 |       
  17232 | Dark Blood Bronze Tag                                          |           |        0.1 |         1 |         742 |     370 |       
   6275 | Surrogate RADAR Reserve Array I                                |           |          5 |         1 |         722 |     203 |       
  17257 | True Sansha Electrum Tag                                       |           |        0.1 |         1 |         749 |     370 |       
  16672 | Tungsten Carbide                                               |           |       0.05 |         1 |         499 |     429 |       
  16673 | Fernite Carbide                                                |           |       0.05 |         1 |         499 |     429 |       
  26064 | Propellant Injection Vent I                                    |           |          5 |         1 |         957 |     782 |       
  16678 | Sylramic Fibers                                                |           |      0.075 |         1 |         499 |     429 |       
  16679 | Fullerides                                                     |           |       0.15 |         1 |         499 |     429 |       
  16681 | Nanotransistors                                                |           |       0.25 |         1 |         499 |     429 |       
  16682 | Hypersynaptic Fibers                                           |           |        0.6 |         1 |         499 |     429 |       
  16683 | Ferrogel                                                       |           |          1 |         1 |         499 |     429 |       
  16686 | Manufacturing Tools                                            |           |        100 |         1 |          20 |     314 |       
  16696 | Cruise Missile Battery                                         |           |        500 |         1 |         479 |     417 |       
  16697 | Torpedo Battery                                                |           |       1000 |         1 |         479 |     417 |       
  16712 | Novice Medal                                                   |           |        0.1 |         1 |         492 |     314 |       
  16713 | Intermediate Medal                                             |           |        0.1 |         1 |         492 |     314 |       
  16714 | Legends Medal                                                  |           |        0.1 |         1 |         492 |     314 |       
  17143 | Gallentean Planetary Vehicles                                  |           |          2 |         1 |         492 |     314 |       
  17184 | Ballistic Deflection Array                                     |           |       4000 |         1 |         485 |     444 |       
  17185 | Explosion Dampening Array                                      |           |       4000 |         1 |         485 |     444 |       
   6226 | Protected Magnetometric Backup Cluster I                       |           |          5 |         1 |         723 |     203 |       
  17186 | Heat Dissipation Array                                         |           |       4000 |         1 |         485 |     444 |       
  17187 | Photon Scattering Array                                        |           |       4000 |         1 |         485 |     444 |       
  17190 | Angel Bronze Tag                                               |           |        0.1 |         1 |         740 |     370 |       
  17192 | Angel Diamond Tag                                              |           |        0.1 |         1 |         740 |     370 |       
  17194 | Angel Gold Tag                                                 |           |        0.1 |         1 |         740 |     370 |       
  17196 | Angel Platinum Tag                                             |           |        0.1 |         1 |         740 |     370 |       
  17199 | Angel Electrum Tag                                             |           |        0.1 |         1 |         740 |     370 |       
  17200 | Blood Copper Tag                                               |           |        0.1 |         1 |         741 |     370 |       
  26314 | Propellant Injection Vent II                                   |           |          5 |         1 |         957 |     782 |       
  17201 | Blood Diamond Tag                                              |           |        0.1 |         1 |         741 |     370 |       
  31802 | Medium Core Defence Field Purger I                             |           |       0.01 |         1 |        1235 |     774 |       
  26065 | Propellant Injection Vent I Blueprint                          |           |       0.01 |         1 |         945 |     787 |       
  17202 | Blood Palladium Tag                                            |           |        0.1 |         1 |         741 |     370 |       
  31669 | Small Projectile Burst Aerator I Blueprint                     |           |       0.01 |         1 |        1264 |     787 |       
  17204 | Blood Brass Tag                                                |           |        0.1 |         1 |         741 |     370 |       
  17205 | Guristas Copper Tag                                            |           |        0.1 |         1 |         745 |     370 |       
  17206 | Guristas Diamond Tag                                           |           |        0.1 |         1 |         745 |     370 |       
  17207 | Guristas Brass Tag                                             |           |        0.1 |         1 |         745 |     370 |       
  17212 | Sansha Brass Tag                                               |           |        0.1 |         1 |         746 |     370 |       
  17213 | Sansha Palladium Tag                                           |           |        0.1 |         1 |         746 |     370 |       
  26336 | EW Drone Range Augmentor II                                    |           |          5 |         1 |         958 |     778 |       
  17214 | Sansha Electrum Tag                                            |           |        0.1 |         1 |         746 |     370 |       
  17215 | Serpentis Copper Tag                                           |           |        0.1 |         1 |         747 |     370 |       
  16527 | 'Arbalest' Rocket Launcher I                                   |           |          5 |         1 |         639 |     507 |       
   6203 | Reserve I Magnetometric Scanners                               |           |          5 |         1 |         723 |     203 |       
   6230 | Protected Multi-Frequency Backup Cluster I                     |           |         20 |         1 |         724 |     203 |       
  11313 | 400mm Reinforced Nanofiber Plates I                            |           |         10 |         1 |         133 |     329 |       
  11315 | 800mm Reinforced Titanium Plates I                             |           |         20 |         1 |         133 |     329 |       
  16529 | Ionic Field Accelerator I                                      |           |          5 |         1 |         613 |     338 |       
  11319 | 800mm Reinforced Crystalline Carbonide Plates I                |           |         20 |         1 |         133 |     329 |       
  11321 | 800mm Reinforced Nanofiber Plates I                            |           |         20 |         1 |         133 |     329 |       
  11323 | 1600mm Reinforced Titanium Plates I                            |           |         20 |         1 |         133 |     329 |       
  11325 | 1600mm Reinforced Rolled Tungsten Plates I                     |           |         20 |         1 |         133 |     329 |       
  11327 | 1600mm Reinforced Crystalline Carbonide Plates I               |           |         20 |         1 |         133 |     329 |       
  11329 | 1600mm Reinforced Nanofiber Plates I                           |           |         20 |         1 |         133 |     329 |       
  11349 | 200mm Reinforced Rolled Tungsten Plates I                      |           |         10 |         1 |         133 |     329 |       
  11351 | 200mm Reinforced Crystalline Carbonide Plates I                |           |         10 |         1 |         133 |     329 |       
  11353 | 200mm Reinforced Nanofiber Plates I                            |           |         10 |         1 |         133 |     329 |       
  11355 | Small Remote Armor Repair System I                             |           |          5 |         1 |        1059 |     325 |       
  11356 | Small Remote Armor Repair System I Blueprint                   |           |       0.01 |         1 |         334 |     350 |       
  11357 | Medium Remote Armor Repair System I                            |           |         10 |         1 |        1058 |     325 |       
  11358 | Medium Remote Armor Repair System I Blueprint                  |           |       0.01 |         1 |         334 |     350 |       
  11359 | Large Remote Armor Repair System I                             |           |         50 |         1 |        1057 |     325 |       
  11360 | Large Remote Armor Repair System I Blueprint                   |           |       0.01 |         1 |         334 |     350 |       
  16533 | 'Stalwart' I Particle Field Magnifier                          |           |          5 |         1 |         613 |     338 |       
  16535 | 'Copasetic' I Particle Field Acceleration                      |           |          5 |         1 |         613 |     338 |       
  16537 | Micro B66 Core Augmentation                                    |           |          5 |         1 |         660 |     339 |       
  16539 | Micro B88 Core Augmentation                                    |           |          5 |         1 |         660 |     339 |       
  16541 | Micro K-Exhaust Core Augmentation                              |           |          5 |         1 |         660 |     339 |       
  16543 | Micro 'Vigor' I Core Augmentation                              |           |          5 |         1 |         660 |     339 |       
  16546 | Bureaucratic Connections                                       |           |       0.01 |         1 |         376 |     278 |       
  16547 | Financial Connections                                          |           |       0.01 |         1 |         376 |     278 |       
   6207 | Reserve I Multi-Frequency Scanners                             |           |         20 |         1 |         724 |     203 |       
   6222 | Protected LADAR Backup Cluster I                               |           |          5 |         1 |         721 |     203 |       
   6259 | Surrogate Magnetometric Reserve Array I                        |           |          5 |         1 |         723 |     203 |       
  19725 | Moros Blueprint                                                |           |       0.01 |         1 |         785 |     537 |       
  19726 | Phoenix                                                        |           |   16250000 |         1 |         763 |     485 |       
  16552 | High Tech Connections                                          |           |       0.01 |         1 |         376 |     278 |       
  16594 | Procurement                                                    |           |       0.01 |         1 |         378 |     274 |       
  16595 | Daytrading                                                     |           |       0.01 |         1 |         378 |     274 |       
  16596 | Wholesale                                                      |           |       0.01 |         1 |         378 |     274 |       
  16597 | Margin Trading                                                 |           |       0.01 |         1 |         378 |     274 |       
  16598 | Marketing                                                      |           |       0.01 |         1 |         378 |     274 |       
  16617 | CONCORD Star Emblem                                            |           |        0.1 |         1 |         733 |     409 |       
  16622 | Accounting                                                     |           |       0.01 |         1 |         378 |     274 |       
  16631 | Small Artillery Battery                                        |           |        500 |         1 |         594 |     426 |       
  16633 | Hydrocarbons                                                   |           |        0.2 |         1 |         501 |     427 |       
  16634 | Atmospheric Gases                                              |           |        0.2 |         1 |         501 |     427 |       
  16635 | Evaporite Deposits                                             |           |        0.2 |         1 |         501 |     427 |       
  27471 | Federation Navy Phoenix F.O.F. Cruise Missile I                |           |       0.01 |         1 |        1192 |     396 |       
  16636 | Silicates                                                      |           |        0.2 |         1 |         501 |     427 |       
  16637 | Tungsten                                                       |           |        0.4 |         1 |         501 |     427 |       
  16638 | Titanium                                                       |           |        0.4 |         1 |         501 |     427 |       
  16639 | Scandium                                                       |           |        0.4 |         1 |         501 |     427 |       
   3326 | Cruise Missiles                                                |           |       0.01 |         1 |         373 |     256 |       
  16640 | Cobalt                                                         |           |        0.4 |         1 |         501 |     427 |       
   3328 | Gallente Frigate                                               |           |       0.01 |         1 |         377 |     257 |       
   3329 | Minmatar Frigate                                               |           |       0.01 |         1 |         377 |     257 |       
   3330 | Caldari Frigate                                                |           |       0.01 |         1 |         377 |     257 |       
   3331 | Amarr Frigate                                                  |           |       0.01 |         1 |         377 |     257 |       
   6251 | Surrogate LADAR Reserve Array I                                |           |          5 |         1 |         721 |     203 |       
  16641 | Chromium                                                       |           |        0.6 |         1 |         501 |     427 |       
  16642 | Vanadium                                                       |           |          1 |         1 |         501 |     427 |       
  16643 | Cadmium                                                        |           |        0.4 |         1 |         501 |     427 |       
  16644 | Platinum                                                       |           |          1 |         1 |         501 |     427 |       
  16646 | Mercury                                                        |           |        0.8 |         1 |         501 |     427 |       
  16647 | Caesium                                                        |           |        0.8 |         1 |         501 |     427 |       
  16648 | Hafnium                                                        |           |        0.8 |         1 |         501 |     427 |       
  16649 | Technetium                                                     |           |        0.8 |         1 |         501 |     427 |       
  16650 | Dysprosium                                                     |           |          1 |         1 |         501 |     427 |       
  16651 | Neodymium                                                      |           |          1 |         1 |         501 |     427 |       
  16656 | Fernite Alloy                                                  |           |          1 |         1 |         500 |     428 |       
  16657 | Rolled Tungsten Alloy                                          |           |          1 |         1 |         500 |     428 |       
  16658 | Silicon Diborite                                               |           |          1 |         1 |         500 |     428 |       
  16659 | Carbon Polymers                                                |           |          1 |         1 |         500 |     428 |       
  16660 | Ceramic Powder                                                 |           |          1 |         1 |         500 |     428 |       
  16661 | Sulfuric Acid                                                  |           |          1 |         1 |         500 |     428 |       
  16431 | N-Type Thermic Membrane I                                      |           |          5 |         1 |         541 |     326 |       
  16433 | Small I-ax Regenerative Projector                              |           |          5 |         1 |        1059 |     325 |       
  16437 | Small 'Arup' I Remote Bulwark Reconstruction                   |           |          5 |         1 |        1059 |     325 |       
  16439 | Small 'Solace' I Remote Bulwark Reconstruction                 |           |          5 |         1 |        1059 |     325 |       
  16441 | Medium I-ax Regenerative Projector                             |           |         10 |         1 |        1058 |     325 |       
   3332 | Gallente Cruiser                                               |           |       0.01 |         1 |         377 |     257 |       
   3333 | Minmatar Cruiser                                               |           |       0.01 |         1 |         377 |     257 |       
   3334 | Caldari Cruiser                                                |           |       0.01 |         1 |         377 |     257 |       
   3335 | Amarr Cruiser                                                  |           |       0.01 |         1 |         377 |     257 |       
   3336 | Gallente Battleship                                            |           |       0.01 |         1 |         377 |     257 |       
   3337 | Minmatar Battleship                                            |           |       0.01 |         1 |         377 |     257 |       
   3338 | Caldari Battleship                                             |           |       0.01 |         1 |         377 |     257 |       
   3339 | Amarr Battleship                                               |           |       0.01 |         1 |         377 |     257 |       
   3340 | Gallente Industrial                                            |           |       0.01 |         1 |         377 |     257 |       
   6195 | Reserve I Gravimetric Scanners                                 |           |          5 |         1 |         720 |     203 |       
  11961 | Huginn                                                         |           |      85000 |         1 |         836 |     906 |       
  11962 | Huginn Blueprint                                               |           |       0.01 |         1 |         903 |     106 |       
  11963 | Rapier                                                         |           |      85000 |         1 |         836 |     833 |       
  11964 | Rapier Blueprint                                               |           |       0.01 |         1 |         903 |     106 |       
  11965 | Pilgrim                                                        |           |     120000 |         1 |         827 |     833 |       
  11966 | Pilgrim Blueprint                                              |           |       0.01 |         1 |         900 |     106 |       
  11969 | Arazu                                                          |           |     116000 |         1 |         833 |     833 |       
